gene	isoform
IL6	T173887
TGFB1	T074602	T074598	T074610	T074606	T074605	T074600	T074609	T074603	T074601	T074611	T074587
FN1	T118318	T118302	T118554	T118314	T118352	T118556	T118397	T118388
COL1A1	T060298
PDE4D	T154866	T154902	T154810
COL4A1	T031315	T031316	T031346	T031326
COL4A2	T031348	T031345	T031376	T031342	T031343	T031344
PCSK9	T095548	T095547	T095546
VDR	T025405
PTGS2	T086952
JAK1	T096105	T096115	T096126
NR3C1	T149989	T149990
TUBA1B	T025585	T025587
RARA	T058085	T058100
NTRK1	T083823
TUBB	T163659
PIK3CG	T169479
CHEK2	T107435	T107438
CASP8	T117295
PIK3CA	T131945
FGFR4	T152675
