rank ,gene,isoform
5.364649599218208,H6PD,T097860
5.362540148773429,C5orf13,T147634
5.36019619445604,SEPT9,T063720
5.354085058058192,ATF6,T084868
5.35391559489377,CTIF,T067473
5.346448071164768,FAM20A,T062262
5.34340037364387,PPP1R18,T163622
5.33447761895604,SMAD3,T045750
5.3277371004954,FAM110A,T103697
5.325344738923683,GNG5,T097172
5.324732325440389,VEGFB,T016361
5.315350636723537,GDA,T193924
5.313489616710803,TGFB1,T074611
5.30473905165773,PKP4,T113814
5.304614488168869,"PALM2,p3",T188355
5.30360006498754,CD302,T113918
5.263760044961522,PTP4A1,T167167
5.259957164899631,CHD2,T048120
5.244186138287263,BTN2A3P,T163014
5.243847300940262,LDLR,T069737
5.2418664159777615,EPHX1,T090421
5.2299704922360055,KLF12,T034209
5.2245393321548885,WNT5A,T136430
5.2242654426718484,BTN3A1,T163012
5.217754411601981,DBI,T111675
5.211902373291758,DDIT4,T006664
5.2105789640629725,AHCYL1,T080312
5.197112749823,PHLPP1,T068255
5.196831869476955,NAB1,T116596
5.192930363263134,NFKBIZ,T126876
5.192629678890469,CD55,T088848
5.184448388185599,ADAMTS1,T104311
5.177683410665685,INO80C,T066847
5.177347827995842,ZMIZ1,T007302
5.1759642654911415,SERPINE2,T119540
5.173473708393848,LTBP4,T074382
5.138198698953559,ELK1,T199985
5.13244378055796,INHBE,T027405
5.130424412768966,SF3B4,T082034
5.129905737447981,MRAS,T129508
5.1290932261947,C2orf63,T123718
5.123531178448612,FEZ2,T122371
5.119330410098001,OSBP2,T107757
5.11335878156455,DPAGT1,T010579
5.1017940195050935,TBX18,T168157
5.09829116659384,SCP2,T095366
5.097039211106599,KANK1,T193627
5.096033477133452,VARS,T164184
5.09209363261857,LCP1,T033407
5.088183143017959,PLA2G4A,T086958
5.083650371357572,SCD,T000128
5.0834413101428,RRP12,T008666
5.079631077609882,FABP1,T126032
5.0774723449692765,HTATIP2,T012826
5.07331293934567,BGN,T198164
5.06960403049828,DOC2B,T057101
5.0671271310342565,VARS,T164188
5.063341837286477,MEF2D,T083641
5.048110432104466,BCAP31,T198250
5.041978424399701,BEGAIN,T035184
5.041972154033892,SAA1,T012435
5.037834755355202,RAB43,T128855
5.0317944536677,EIF5A,T062775
5.031270774394924,CSK,T046484
5.029824453319,TRAF7,T049796
5.0268685697574655,XYLB,T134498
5.02409007157088,GPRC5A,T022964
5.022338399056075,PLSCR1,T129969
5.020744411299621,EPDR1,T175224
5.018383546163512,SCD,T000126
5.01447795831085,ACOT13,T162736
5.010638480163067,DDRGK1,T099815
5.0042260661897,C19orf29,T073280
4.997952748805436,MID2,T196247
4.9978048934433374,C6orf223,T166120
4.996504610532402,RFX3,T192918
4.991084163228488,BABAM1,T071185
4.9855991340168,SHQ1,T137418
4.985444135549751,MBNL2,T034843
4.97548374620893,MIR31,T192210
4.967044382142523,RNF103,T125929
4.96512086431332,ARHGDIA,T064943
4.961697362698663,CATSPER1,T017183
4.957270884532731,OLR1,T020207
4.951119117588796,PPP1R15B,T088306
4.9465025018795385,POLD1,T077038
4.944837013265193,RASIP1,T076466
4.9426804662957995,DCP2,T147711
4.9421969335900995,TECR,T070736
4.940148021733775,ARL16,T064868
4.9370070785083,THAP8,T073466
4.9276790641410395,IL1R1,T110465
4.9260915242428,SLC2A5,T097722
4.92412514280615,NUP98,T014124
4.921169799434135,TLE3,T046017
4.9155606389622095,SHC1,T083185
4.91355852879374,PPP1R10,T163592
4.91351207004384,ST6GALNAC6,T189901
4.911935648268839,XPNPEP2,T197024
4.9082463233257005,ITPK1,T041586
4.904193366014299,CDA,T089020
4.8992129187933715,C19orf51,T078127
4.896145168955086,ARF6,T038364
4.886694007518768,SLC27A3,T082901
4.879407679157354,NR1H3,T014636
4.87875220653771,SCHIP1,T131079
4.872097434523214,PPM1M,T136130
4.870742269050151,FXYD5,T073064
4.861611466989087,GGTA1P,T189237
4.860505662382645,DDIT3,T027451
4.86008869113077,MBD6,T027462
4.859772518021288,ALDH3A2,T056183
4.8587978861945,NFE2L2,T115207
4.857598824454215,SLC35C1,T014403
4.851287861472224,DLGAP4,T100288
4.841060339834601,CELF1,T014750
4.8386107129282765,GBA,T083278
4.834645025713799,C17orf70,T064835
4.82117967197282,ARHGDIA,T064934
4.815999435322468,PLA2G2A,T088015
4.8128084408021286,HIVEP2,T160011
4.797703077502477,JTB,T082956
4.7966011812932345,SHROOM1,T148675
4.794033235820369,EIF2C3,T093887
4.782873246464341,NAMPT,T169335
4.7802400652029995,NEURL,T000643
4.7783709466343804,DNAJB6,T173181
4.777773144868483,RBBP9,T098739
4.775332526672919,ONECUT1,T044600
4.762073911136676,RPRD1B,T100548
4.76006692571691,PSME1,T037320
4.75839587134004,RCC2,T086033
4.7542706728630195,SLC5A6,T121617
4.751035563913922,PAPPA,T188979
4.74982219181785,LMO7,T034284
4.7494694370492025,EXOC3,T154323
4.748007634236245,ARPC3,T020970
4.747364827628539,TNFRSF11B,T180151
4.7443415658082415,CLEC10A,T062497
4.741853731639804,NUMB,T040281
4.7401481671383685,SMARCA4,T069724
4.734559773420719,PPAPDC3,T190553
4.733830221586333,PPP1R15B,T088300
4.725283035068934,ACAT1,T009344
4.7184747553254,TMEM144,T141147
4.714477790629728,SH3KBP1,T198847
4.710758032925491,HAAO,T122894
4.701454933983,PHF17,T139679
4.701402999631256,SAMD9L,T178229
4.697499764873866,FOSB,T075629
4.688460420897648,FDFT1,T179915
4.6871529843581925,PFAS,T065459
4.68540550990054,WDFY4,T005041
4.6769477614978,"HLA-DRB1,p7",T164463
4.676085508679375,BEGAIN,T035185
4.6729681194663,TGM2,T100553
4.6706869695718005,DNMT3B,T099706
4.670267455464789,ANK1,T184785
4.664505390691395,EFEMP2,T017107
4.662966854741033,ZYX,T172209
4.6610581630480485,IFNGR2,T104713
4.657591218522494,PLEKHG2,T074110
4.65724296003348,FLNA,T198389
4.6552122324860195,ITGAE,T057737
4.648948933110099,FAM120A,T195039
4.643516906213835,PLA2G7,T166463
4.639064556498269,MIR4751,T076974
4.634755060630999,RPRD1B,T100545
4.632436613731191,MCU,T006703
4.629396954036131,NAGK,T124932
4.629110716697809,VOPP1,T176386
4.624831315791,FAM19A5,T109902
4.620452606463672,FHAD1,T083659
4.618587068863071,CD63,T026918
4.614368847958276,CHEK2,T107435
4.613073330571252,CAD,T121629
4.6050564526288245,LDLR,T069740
4.601410450832801,CLIC4,T092461
4.60063335096142,LRRC63,T033409
4.59685478414967,ATP1B3,T129738
4.596222371129835,APBB1IP,T003729
4.590879703471141,ITPKC,T074405
4.5889340617320995,NRG4,T046672
4.583881230778776,NQO2,T163463
4.5789921816178705,KLF6,T004497
4.567169066024051,MRAS,T129510
4.558880725454914,GPR39,T112317
4.5547115787278205,PPP1R35,T168627
4.550789069190071,RAB34,T056685
4.544901155086528,LTBP3,T016959
4.543546673237055,SLC6A12,T024677
4.539867162913398,MAGEC2,T197846
4.53604798020635,ANPEP,T047758
4.53502324479945,SLC35C1,T014404
4.5326262819549346,HEXB,T155653
4.532328668078169,ME3,T019298
4.532260911595581,GUSB,T176691
4.523020727079844,CEBPB,T102053
4.51842378555187,SYNE1,T160807
4.513649282441159,SCARB1,T022668
4.5117580437583,COL6A3,T120651
4.508551191727861,BCL9L,T010482
4.508456500835336,GFPT1,T124636
4.50773431870479,MATK,T073657
4.497426071968,ZMIZ1,T007303
4.49650227963635,MFF,T119724
4.495204222420019,OAS1,T021207
4.494632600345935,NUP93,T052376
4.4887797620960805,ASB9,T198226
4.48808039931005,CTSC,T019390
4.479965547935571,SOCS6,T068590
4.47723245931655,APOC1,T075425
4.475745641794072,RAI1,T055972
4.462327033888728,UBQLN1,T194347
4.4578563514130005,PCSK9,T095547
4.45408107767193,COL11A2,T164679
4.450787622815438,CMPK2,T124705
4.445138483874731,DUSP16,T022794
4.442239876146,GLI3,T175491
4.44005390706608,TMEM53,T094778
4.4364638473647,EIF4G3,T089590
4.436245416614598,TIPARP,T130835
4.424755012792247,"CCPG1,p1",T044688
4.423141364513343,VDAC1,T148753
4.419231690844296,ZBTB4,T063266
4.418769244256801,SLC16A12,T008043
4.4122717911696006,VARS,T164192
4.4093620495004835,NR4A1,T026044
4.3995765651771395,SHMT1,T056068
4.397674800358965,ZMIZ1,T007157
4.396950846775494,ALDH4A1,T087069
4.38799320896913,TAF7,T149657
4.38403749300552,GATA2,T128762
4.382115504445201,CDK16,T199897
4.381318766661926,MTA2,T015934
4.38108485675937,DIXDC1,T009748
4.3802767500576,BCL3,T075339
4.3774926708105895,SEC13,T126985
4.37733456656039,PLK3,T094810
4.376227462598981,ARHGDIA,T064944
4.375065208327411,HSD17B14,T076493
4.367308841752029,PIM2,T200124
4.366501894043,TMEM98,T057105
4.362919515084471,LINC00277,T045943
4.359761353016622,SLC15A3,T015501
4.359545753505103,VPS54,T124239
4.356179462719,ZNF732,T143372
4.353802466457063,CYB5A,T068700
4.351864204280069,COL27A1,T188786
4.349226989432291,ALOX5,T004858
4.347782871613001,CDC42EP3,T122521
4.34665587754443,FUNDC1,T199693
4.345868480641402,CYP2S1,T074473
4.345536622454803,RUNX1,T104875
4.3438438343342005,SUFU,T000473
4.338134753189543,NFKB1,T138487
4.335103641954458,PBX1,T085076
4.334649955349105,PLD3,T074317
4.333910676878412,DYRK1A,T105053
4.332785247247961,CD70,T078937
4.327686873729816,PLK3,T094808
4.322803430775561,SH2B3,T021081
4.32009821328637,GSN,T189210
4.319627887675767,C15orf39,T046580
4.318875145123082,SLC30A7,T079793
4.318189446513,IQGAP1,T047857
4.31374015916558,AKAP7,T159000
4.31145210706327,C14orf118,T040672
4.301388471738553,CEBPB,T102045
4.2995447846832,MX1,T105408
4.299075665888,FSTL4,T148729
4.29703854495669,MGRN1,T051627
4.294048827484777,SYS1,T101218
4.293402193539282,LTBP4,T074378
4.2898208458569,IRAK1,T198321
4.28878122892837,FAM134C,T058804
4.281676390813945,RHOA,T135650
4.281547632611235,GSK3B,T127991
4.281293246722767,ATF1,T025867
4.276784409253994,UGP2,T124216
4.27028087356611,TLN2,T045256
4.2663497878734855,SH2D2A,T083806
4.2598200265942,MANSC1,T022588
4.25724122519874,RAPGEF2,T141289
4.257164470223301,CCNK,T042067
4.25450320658393,ETS2,T105200
4.244637955966922,SLAMF8,T084295
4.24296730572294,GCA,T114169
4.24145061094478,MORF4L1P1,T089947
4.2380573024649,SQLE,T180520
4.2267897419506815,FOXP1,T137237
4.226062627232101,ATXN2,T021103
4.222315980007822,HBP1,T169515
4.22056643306599,TOB1,T060631
4.200306817171302,ATXN2,T021104
4.19937634570802,TES,T169941
4.190100200957375,FAM157B,T191755
4.186896708754152,SCARB1,T022665
4.1811849906811895,UBAC1,T191229
4.1764197414253,UBE2R2,T192720
4.1734603396600525,SLC29A1,T166176
4.17282824547148,MID1IP1,T199475
4.171677086827712,SLC9A8,T101980
4.165873769273925,AIFM2,T006341
4.15642624068393,SENP6,T167849
4.156416156673823,RGS3,T188712
4.15284360270525,MAP3K6,T092895
4.150318150191478,MAGEB2,T199183
4.148989912547228,HSD17B4,T147982
4.1488406878897015,PPP6R1,T078168
4.145933641857701,MAP7D1,T093922
4.14445969798224,AACS,T022717
4.142465147908953,PRKAR1A,T062239
4.14142721918327,SNORD58C,T067544
4.1407930172131096,ZGLP1,T069496
4.137901927915716,SYVN1,T016708
4.137067676396899,CCND3,T165795
4.136167723885507,PLA2G7,T166462
4.135747167587001,IFI16,T084137
4.129642537278904,BAG6,T164085
4.12520881543987,OS9,T027537
4.12233149564733,FNDC4,T121719
4.12045011465468,ELK1,T199986
4.11485389837686,GRASP,T026016
4.113534899280884,SEMA6B,T075497
4.112999076503063,C6orf223,T166121
4.11237645579204,GNPTG,T048948
4.11155441077757,DOM3Z,T164294
4.1044803089946,GEMIN4,T062094
4.101947676617853,AAMP,T118884
4.094892534023075,MXD1,T124716
4.09395496385271,ATP6AP1,T198450
4.093183631971553,CEPT1,T080514
4.0916346932953385,ELOVL5,T166752
4.085775173852658,PIM3,T110008
4.082363189504609,MPV17,T121663
4.07646650850418,SMPD2,T157658
4.0762989679959,"PRR13,p5",T026507
4.0671493605408005,EMD,T198421
4.065987909922554,TNFRSF11A,T068223
4.0593873750382,TRPM2,T105906
4.056274344913741,TMEM51,T083114
4.05543564898821,SIPA1L1,T040196
4.052770347596499,PLXNA1,T128585
4.048208309893055,SMAP2,T094354
4.0471509290167065,TSPAN9,T024747
4.0469292181771,C11orf75,T019596
4.043287571139192,PKN3,T190142
4.039014707775275,PTEN,T007766
4.0379261690372825,ELF1,T033002
4.033570173284283,ZNF608,T148211
4.033409483767739,NAGS,T059066
4.02754793938079,GPC6,T034688
4.024351555283919,USP15,T027741
4.024279457700113,HNRPDL,T146282
4.024165649687988,DGKD,T120315
4.01853349016862,IQSEC2,T200376
4.011032152350355,TAF10,T017337
4.009334889889533,IL18R1,T110532
4.008045250698536,HOXA7,T174410
4.0072396586494925,C16orf59,T050063
4.00511301412557,GYLTL1B,T014442
4.00332618026761,CNN3,T098124
4.00252498725062,RANBP2,T110882
4.00249130256176,APOE,T075400
3.99969261328946,KLHL21,T096262
3.9993497692514506,SH2B2,T169054
3.996377620946535,CYB5R2,T018693
3.993034428744127,IKBKG,T198517
3.9928308751410704,UBE2Z,T060042
3.9912830838187285,MIDN,T070008
3.990263381564,GNPNAT1,T038689
3.9890221790272964,ANKRD12,T069261
3.98386092792,HOXB5,T059930
3.9819998031974926,TMEM44,T133313
3.9808008895952383,CSF1,T080294
3.980497309602768,RREB1,T167419
3.9798542546486653,LPAR2,T071899
3.9776993802138687,S100A10,T082503
3.9755524182257496,MPP5,T039735
3.970113828420781,ATF6,T084866
3.9691359610656094,ARIH1,T046247
3.96677721895604,CSGALNACT1,T182927
3.9665621121737353,HBP1,T169512
3.9621722113743103,CD24,T201686
3.956510564589585,RPL23A,T056689
3.955678407778929,ARVCF,T106650
3.955628459992255,CD164,T157647
3.9544035606971604,AVPI1,T008712
3.9507823748023,ANPEP,T047716
3.948856930922098,BRD2,T164602
3.947053415063341,RNF19A,T179084
3.944762602714921,P4HA2,T148537
3.940808949277203,MEMO1P1,T104933
3.940240554531168,RBM3,T200063
3.934967675744601,GLA,T195840
3.9328702809412825,DNAJC27-AS1,T121365
3.93151752600334,HHEX,T008221
3.9226329534440554,SNX9,T161140
3.9209888961435047,IQGAP1,T047861
3.9142930462756302,RAB11FIP1,T184461
3.9139572897697,SLC35C1,T014402
3.9130337634970402,MYO9B,T071158
3.912307548098024,COX15,T000056
3.91157156588544,NDST1,T150691
3.909371232882448,SLC43A3,T015073
3.8992885198473366,ARMC5,T051247
3.89584483732984,HERPUD2,T175019
3.8928144035141807,CASP7,T001273
3.8889627540911498,CTSD,T012365
3.886688432395963,RASGEF1B,T146191
3.885639967336192,AHCYL1,T080313
3.884365030037777,B4GALT1,T192593
3.8808220777020006,MAP2K5,T045810
3.876384001679238,SPRY2,T034517
3.8760595907132536,RBCK1,T100708
3.8745197969752403,NRM,T163648
3.870715365683981,TPRA1,T128626
3.8678289177929996,POLD1,T077037
3.866798463965963,AGFG1,T119750
3.85451462656292,NUP35,T116194
3.8535003130477152,CYB5A,T068701
3.851929562493093,IP6K2,T135510
3.850827958594,PLCD3,T059424
3.8454112011752097,LDLR,T069744
3.8451672090614,GATA2,T128761
3.8435413122917996,UGGT1,T112113
3.84051127537206,C3orf58,T129870
3.839417287816699,PITX1,T148954
3.8346302401971446,PPP6R1,T078173
3.8311936404321,GUSB,T176692
3.8275980286755895,GAA,T064513
3.8262804070625696,ZNF398,T172374
3.8252454186717895,MGST1,T023585
3.82107661945607,XPOT,T027887
3.81926316150882,GRINA,T182334
3.8163452804434668,WT1,T013557
3.8158765229683502,IL1R1,T110454
3.813888827347625,CAMK1,T137931
3.81362645119094,SLC7A8,T037011
3.801097251989023,MIER1,T096380
3.7970450802078,PPM1H,T027791
3.7949248245850833,TKT,T136344
3.7895545438431095,NIPA2,T042267
3.7868565542516,NFKBIA,T037938
3.786000146156016,TOM1,T108140
3.78540467006253,GRINA,T182336
3.779757439197041,RGMB,T157063
3.7750885622590697,FOXL2,T129551
3.7733745013871705,FADS1,T015706
3.7701145271472596,ACCN4,T119252
3.766293802774221,CYP27A1,T119028
3.76024490849618,SDF4,T080956
