isoform	gene
T017200	PACS1
T017211	KLC2
T017214	KLC2
T017215	KLC2
T017216	KLC2
T017217	KLC2
T017219	KLC2
T017225	RAB1B
T017226	RAB1B
T017233	CNIH2
T017239	YIF1A
T017240	YIF1A
T017241	YIF1A
T017244	YIF1A
T017245	YIF1A
T017252	TMEM151A
T017267	CD248
T017274	CD248
T017275	CD248
T017276	RIN1
T017277	RIN1
T017278	RIN1
T017279	RIN1
T017281	BRMS1
T017282	BRMS1
T017283	BRMS1
T017286	B4GAT1
T017289	B4GAT1
T017291	SLC29A2
T017293	SLC29A2
T017294	SLC29A2
T017295	SLC29A2
T017296	SLC29A2
T017297	SLC29A2
T017298	SLC29A2
T017304	NPAS4
T017306	MRPL11
T017307	PELI3
T017309	DPP3
T017311	RRP8
T017312	DPP3
T017313	RRP8
T017314	RRP8
T017315	ILK
T017316	ILK
T017317	ILK
T017318	ILK
T017319	ILK
T017320	BBS1
T017321	ILK
T017322	ILK
T017323	ZDHHC24
T017324	ZDHHC24
T017325	ZDHHC24
T017326	ZDHHC24
T017327	ACTN3
T017329	TAF10
T017330	TAF10
T017331	TAF10
T017333	CTSF
T017334	CTSF
T017336	TAF10
T017337	TAF10
T017352	CCDC87
T017353	CCDC87
T017354	CCS
T017355	CCS
T017356	CCS
T017357	CCS
T017358	TPP1
T017360	RBM14
T017361	RBM14
T017362	RBM14
T017363	RBM14
T017366	RBM14
T017374	RBM4
T017375	RBM4
T017376	TPP1
T017381	RBM4B
T017405	SPTBN2
T017408	SPTBN2
T017413	C11orf80
T017414	C11orf80
T017416	RCE1
T017419	RCE1
T017422	LRFN4
T017423	LRFN4
T017424	LRFN4
T017425	LRFN4
T017439	PC
T017445	PC
T017446	PC
T017451	DCHS1
T017452	DCHS1
T017454	SYT12
T017457	SYT12
T017463	RHOD
T017469	KDM2A
T017477	KDM2A
T017478	KDM2A
T017479	KDM2A
T017480	KDM2A
T017481	KDM2A
T017482	KDM2A
T017483	KDM2A
T017487	GRK2
T017490	GRK2
T017491	GRK2
T017499	MRPL17
T017502	GRK2
T017503	GRK2
T017507	GRK2
T017515	ANKRD13D
T017516	ANKRD13D
T017518	ANKRD13D
T017520	ANKRD13D
T017521	ANKRD13D
T017522	SSH3
T017523	SSH3
T017524	SSH3
T017531	POLD4
T017533	POLD4
T017535	POLD4
T017536	POLD4
T017548	CLCF1
T017549	CLCF1
T017551	RAD9A
T017554	PPP1CA
T017555	PPP1CA
T017556	PPP1CA
T017560	TBC1D10C
T017568	CARNS1
T017570	CARNS1
T017576	PPP1CA
T017577	PPP1CA
T017584	RPS6KB2
T017594	PTPRCAP
T017597	CORO1B
T017600	CORO1B
T017601	CORO1B
T017602	CORO1B
T017604	CABP4
T017611	TMEM134
T017612	TMEM134
T017613	TMEM134
T017616	AIP
T017617	AIP
T017621	PITPNM1
T017623	PITPNM1
T017624	PITPNM1
T017626	CDK2AP2
T017627	CDK2AP2
T017630	CDK2AP2
T017631	CDK2AP2
T017632	CDK2AP2
T017633	CDK2AP2
T017634	CDK2AP2
T017637	GSTP1
T017638	GSTP1
T017639	GSTP1
T017640	GSTP1
T017641	GSTP1
T017642	GSTP1
T017643	GSTP1
T017644	GSTP1
T017645	GSTP1
T017650	GSTP1
T017654	NDUFV1
T017655	NDUFV1
T017657	NUDT8
T017670	ACY3
T017672	ACY3
T017676	ALDH3B2
T017681	RPL37P2
T017685	GVINP1
T017688	UNC93B1
T017689	UNC93B1
T017690	UNC93B1
T017691	ALDH3B1
T017693	ALDH3B1
T017696	NDUFS8
T017697	NDUFS8
T017698	NDUFS8
T017699	NDUFS8
T017702	TCIRG1
T017703	TCIRG1
T017705	TCIRG1
T017706	TCIRG1
T017708	CHKA
T017709	CHKA
T017710	CHKA
T017711	CHKA
T017712	KMT5B
T017713	KMT5B
T017714	KMT5B
T017715	KMT5B
T017716	KMT5B
T017719	C11orf24
T017720	C11orf24
T017729	LRP5
T017730	LRP5
T017731	LRP5
T017732	LRP5
T017743	PPP6R3
T017762	GAL
T017763	GAL
T017764	GAL
T017766	TESMIN
T017767	TESMIN
T017768	TESMIN
T017769	CPT1A
T017776	CPT1A
T017777	CPT1A
T017779	CPT1A
T017781	MRPL21
T017782	MRPL21
T017783	IGHMBP2
T017785	MRGPRF
T017786	MRGPRF
T017790	TPCN2
T017791	TPCN2
T017792	TPCN2
T017793	TPCN2
T017794	TPCN2
T017812	MYEOV
T017813	MYEOV
T017821	MYEOV
T017822	MYEOV
T017840	CCND1
T017841	CCND1
T017844	CCND1
T017846	CCND1
T017850	CCND1
T017853	CCND1
T017863	ZNF215
T017864	ZNF215
T017865	ORAOV1
T017866	ORAOV1
T017867	ORAOV1
T017868	DEAF1
T017871	FGF19
T017874	DEAF1
T017876	TMEM80
T017877	TMEM80
T017878	DEAF1
T017879	TMEM80
T017910	ANO1
T017912	ANO1
T017933	FADD
T017934	FADD
T017935	FADD
T017939	PPFIA1
T017955	PPFIA1
T017963	CTTN
T017966	CTTN
T017967	CTTN
T017977	ZNF214
T017984	SHANK2
T017991	EPS8L2
T017996	EPS8L2
T017997	EPS8L2
T018005	DEAF1
T018006	DEAF1
T018011	SHANK2
T018020	DHCR7
T018021	DHCR7
T018026	NADSYN1
T018027	NADSYN1
T018028	NADSYN1
T018032	FAM86C1
T018045	RNF121
T018046	RNF121
T018051	IL18BP
T018052	IL18BP
T018062	NUMA1
T018063	NUMA1
T018064	NUMA1
T018066	NUMA1
T018067	NUMA1
T018068	NUMA1
T018069	NUMA1
T018070	NUMA1
T018071	NUMA1
T018072	NUMA1
T018073	NUMA1
T018074	NUMA1
T018075	NUMA1
T018076	NUMA1
T018077	NUMA1
T018078	NUMA1
T018079	NUMA1
T018080	LRTOMT
T018081	NUMA1
T018082	NUMA1
T018083	NUMA1
T018084	LRTOMT
T018085	LRTOMT
T018086	LRTOMT
T018088	LAMTOR1
T018089	LAMTOR1
T018090	LAMTOR1
T018091	ANAPC15
T018092	ANAPC15
T018093	ANAPC15
T018095	FOLR3
T018101	FOLR1
T018106	FOLR1
T018107	FOLR1
T018112	FOLR2
T018115	INPPL1
T018116	INPPL1
T018117	INPPL1
T018120	INPPL1
T018122	INPPL1
T018128	PHOX2A
T018132	CLPB
T018142	PDE2A
T018154	PDE2A
T018156	PDE2A
T018160	ARAP1
T018161	ARAP1
T018162	ARAP1
T018166	ARAP1
T018169	ARAP1
T018170	ARAP1
T018171	ARAP1
T018183	EPS8L2
T018185	ARAP1
T018192	STARD10
T018196	STARD10
T018204	ARAP1
T018205	STARD10
T018207	STARD10
T018212	ATG16L2
T018216	EPS8L2
T018217	EPS8L2
T018218	EPS8L2
T018219	EPS8L2
T018220	SYT9
T018221	SYT9
T018230	FCHSD2
T018231	FCHSD2
T018233	FCHSD2
T018234	FCHSD2
T018235	FCHSD2
T018236	FCHSD2
T018237	FCHSD2
T018238	FCHSD2
T018239	FCHSD2
T018240	FCHSD2
T018241	FCHSD2
T018242	FCHSD2
T018243	FCHSD2
T018244	FCHSD2
T018251	P2RY2
T018254	P2RY2
T018257	P2RY6
T018262	P2RY6
T018263	P2RY6
T018267	P2RY6
T018269	ARHGEF17
T018270	ARHGEF17
T018271	ARHGEF17
T018272	ARHGEF17
T018273	ARHGEF17
T018274	ARHGEF17
T018278	ARHGEF17
T018280	RELT
T018281	RELT
T018290	FAM168A
T018293	FAM168A
T018294	FAM168A
T018295	FAM168A
T018297	FAM168A
T018298	FAM168A
T018299	FAM168A
T018301	PLEKHB1
T018303	PLEKHB1
T018305	PLEKHB1
T018324	PLEKHB1
T018327	RAB6A
T018328	RAB6A
T018331	RAB6A
T018333	RAB6A
T018334	RAB6A
T018335	RAB6A
T018338	MRPL48
T018339	MRPL48
T018342	COA4
T018343	PAAF1
T018344	DNAJB13
T018362	UCP2
T018367	UCP2
T018369	UCP2
T018370	UCP2
T018371	UCP2
T018385	C2CD3
T018386	C2CD3
T018387	C2CD3
T018388	C2CD3
T018389	C2CD3
T018390	C2CD3
T018391	C2CD3
T018392	C2CD3
T018394	PPME1
T018395	PPME1
T018396	PPME1
T018397	PPME1
T018400	P4HA3
T018403	PGM2L1
T018407	KCNE3
T018408	KCNE3
T018409	KCNE3
T018412	LIPT2
T018413	LIPT2
T018415	POLD3
T018416	POLD3
T018419	CHRDL2
T018424	RNF169
T018430	XRRA1
T018431	XRRA1
T018432	SPCS2
T018433	NEU3
T018434	NEU3
T018435	NEU3
T018436	NEU3
T018437	NEU3
T018438	NEU3
T018439	TALDO1
T018448	SLCO2B1
T018449	SLCO2B1
T018462	SLCO2B1
T018476	ARRB1
T018485	ARRB1
T018487	ARRB1
T018488	ARRB1
T018489	ARRB1
T018491	ARRB1
T018492	OLFML1
T018493	OLFML1
T018496	OLFML1
T018497	OLFML1
T018498	OLFML1
T018499	RPS3
T018500	SNORD15B
T018501	SNORD15B
T018502	SNORD15B
T018504	KLHL35
T018508	KLHL35
T018513	GDPD5
T018516	GDPD5
T018517	GDPD5
T018521	SERPINH1
T018522	SERPINH1
T018523	SERPINH1
T018525	SERPINH1
T018526	SERPINH1
T018531	SERPINH1
T018532	SERPINH1
T018540	PPFIBP2
T018541	PPFIBP2
T018542	PPFIBP2
T018544	MAP6
T018545	MAP6
T018547	MAP6
T018559	DGAT2
T018560	DGAT2
T018561	DGAT2
T018571	UVRAG
T018577	WNT11
T018579	WNT11
T018582	PPFIBP2
T018586	PPFIBP2
T018587	PPFIBP2
T018588	PPFIBP2
T018589	PPFIBP2
T018591	THAP12
T018592	THAP12
T018598	EMSY
T018599	EMSY
T018600	EMSY
T018605	PPFIBP2
T018610	PPFIBP2
T018611	PPFIBP2
T018613	PPFIBP2
T018642	LRRC32
T018644	LRRC32
T018647	LRRC32
T018653	TSKU
T018655	TSKU
T018656	TSKU
T018657	TSKU
T018658	TSKU
T018660	ACER3
T018661	PPFIBP2
T018667	CAPN5
T018668	CAPN5
T018671	MYO7A
T018676	MYO7A
T018681	MYO7A
T018684	CYB5R2
T018685	CYB5R2
T018692	CYB5R2
T018693	CYB5R2
T018696	PAK1
T018697	PAK1
T018698	PAK1
T018700	PAK1
T018701	PAK1
T018704	PAK1
T018705	PAK1
T018706	PAK1
T018707	PAK1
T018710	PAK1
T018711	PAK1
T018714	PAK1
T018715	PAK1
T018716	PAK1
T018717	PAK1
T018718	PAK1
T018728	AQP11
T018729	AQP11
T018731	CLNS1A
T018733	CLNS1A
T018734	CLNS1A
T018737	FTH1P16
T018743	RSF1
T018744	RSF1
T018745	RSF1
T018746	RSF1
T018747	AAMDC
T018748	AAMDC
T018749	AAMDC
T018754	INTS4
T018755	INTS4
T018756	INTS4
T018757	PDDC1
T018758	KCTD14
T018759	PDDC1
T018763	THRSP
T018772	NDUFC2
T018773	NDUFC2
T018774	NDUFC2-KCTD14
T018775	NDUFC2-KCTD14
T018776	NDUFC2-KCTD14
T018777	NDUFC2-KCTD14
T018783	ALG8
T018786	KCTD21
T018787	USP35
T018788	USP35
T018789	USP35
T018828	GAB2
T018829	GAB2
T018830	GAB2
T018850	NARS2
T018851	NARS2
T018852	NARS2
T018858	TENM4
T018865	CEND1
T018875	TENM4
T018876	TENM4
T018877	TENM4
T018878	TENM4
T018879	TENM4
T018880	TENM4
T018881	TENM4
T018884	TENM4
T018895	SLC25A22
T018896	SLC25A22
T018904	SLC25A22
T018905	SLC25A22
T018907	NLRP10
T018908	NLRP10
T018910	EIF3F
T018919	PIDD1
T018920	PIDD1
T018927	PIDD1
T018928	PIDD1
T018930	RPLP2
T018931	RPLP2
T018932	RPLP2
T018933	TUB
T018934	TUB
T018936	TUB
T018941	RPLP2
T018957	RIC3
T018958	PNPLA2
T018980	FAM181B
T018996	PRCP
T019000	PRCP
T019001	PRCP
T019002	PRCP
T019004	DDIAS
T019009	RAB30
T019013	CRACR2B
T019016	RAB30
T019017	RAB30
T019018	RAB30
T019019	CRACR2B
T019020	CRACR2B
T019025	RAB30
T019026	RAB30
T019035	LMO1
T019037	PCF11
T019046	ANKRD42
T019047	ANKRD42
T019048	ANKRD42
T019053	CRACR2B
T019057	CRACR2B
T019058	CCDC90B
T019059	CCDC90B
T019060	CCDC90B
T019061	CCDC90B
T019062	CCDC90B
T019063	CCDC90B
T019064	CCDC90B
T019065	CCDC90B
T019066	CCDC90B
T019067	CRACR2B
T019068	CRACR2B
T019081	CD151
T019082	CD151
T019083	CD151
T019097	CD151
T019102	CD151
T019103	CD151
T019104	CD151
T019105	CD151
T019108	CD151
T019110	CD151
T019121	DLG2
T019129	DLG2
T019137	POLR2L
T019138	POLR2L
T019139	POLR2L
T019140	TSPAN4
T019141	TSPAN4
T019145	TSPAN4
T019152	TSPAN4
T019170	TSPAN4
T019178	TSPAN4
T019193	DLG2
T019194	DLG2
T019196	DLG2
T019197	DLG2
T019198	TMEM126B
T019199	TMEM126A
T019200	TMEM126A
T019201	CREBZF
T019205	CREBZF
T019206	CREBZF
T019207	CREBZF
T019209	CREBZF
T019211	CCDC89
T019218	SYTL2
T019220	SYTL2
T019222	SYTL2
T019227	SYTL2
T019228	SYTL2
T019231	SYTL2
T019250	PICALM
T019251	PICALM
T019252	PICALM
T019254	PICALM
T019255	PICALM
T019256	PICALM
T019257	PICALM
T019261	EED
T019262	EED
T019264	EED
T019265	EED
T019266	EED
T019267	EED
T019271	HIKESHI
T019272	HIKESHI
T019273	HIKESHI
T019274	HIKESHI
T019277	CCDC81
T019286	STK33
T019288	STK33
T019295	ME3
T019296	ME3
T019297	ME3
T019298	ME3
T019299	ME3
T019300	ME3
T019301	ME3
T019315	PRSS23
T019316	PRSS23
T019317	PRSS23
T019318	PRSS23
T019329	FZD4
T019330	FZD4
T019331	FZD4
T019336	TMEM135
T019337	TMEM135
T019339	TMEM135
T019350	RPL27A
T019351	RPL27A
T019352	RPL27A
T019353	SNORA3A
T019361	RPL27A
T019367	ST5
T019368	ST5
T019369	ST5
T019381	RAB38
T019389	CTSC
T019390	CTSC
T019391	CTSC
T019401	ST5
T019402	ST5
T019403	ST5
T019418	ST5
T019419	ST5
T019420	ST5
T019429	NOX4
T019432	NOX4
T019437	NOX4
T019438	AKIP1
T019439	AKIP1
T019440	AKIP1
T019441	AKIP1
T019444	TMEM9B
T019447	TMEM9B
T019448	TMEM9B
T019449	TMEM9B
T019450	NAALAD2
T019451	NAALAD2
T019458	CHORDC1
T019461	CHORDC1
T019475	NRIP3
T019492	CHID1
T019494	SCUBE2
T019496	SCUBE2
T019499	CHID1
T019537	AP2A2
T019538	AP2A2
T019561	DENND5A
T019562	DENND5A
T019563	DENND5A
T019564	DENND5A
T019565	DENND5A
T019566	DENND5A
T019567	DENND5A
T019582	SLC36A4
T019596	SMCO4
T019600	SMCO4
T019601	SMCO4
T019602	SMCO4
T019603	SMCO4
T019606	TMEM41B
T019607	TMEM41B
T019608	TMEM41B
T019609	TMEM41B
T019610	TMEM41B
T019612	CEP295
T019613	SCARNA9
T019614	SNORA32
T019616	SNORA8
T019617	SNORD5
T019618	SNORA40
T019619	TAF1D
T019622	TAF1D
T019623	C11orf54
T019624	C11orf54
T019630	MED17
T019631	MED17
T019632	MED17
T019633	MED17
T019634	TAF1D
T019635	VSTM5
T019641	PANX1
T019643	PANX1
T019644	PANX1
T019647	IPO7
T019648	IPO7
T019649	IPO7
T019650	IPO7
T019654	GPR83
T019656	ANKRD49
T019657	MRE11
T019658	MRE11
T019659	MRE11
T019660	ANKRD49
T019666	FUT4
T019667	FUT4
T019668	FUT4
T019682	AMOTL1
T019685	AMOTL1
T019693	AMOTL1
T019694	AMOTL1
T019695	AMOTL1
T019696	AMOTL1
T019697	SNORA23
T019706	IPO7
T019709	IPO7
T019711	CWC15
T019713	KDM4D
T019716	SRSF8
T019717	SRSF8
T019718	SRSF8
T019721	ENDOD1
T019722	ENDOD1
T019723	ENDOD1
T019724	ENDOD1
T019725	ENDOD1
T019726	ENDOD1
T019727	ZNF143
T019728	ZNF143
T019741	SESN3
T019742	SESN3
T019743	SESN3
T019744	SESN3
T019745	SESN3
T019757	FAM76B
T019758	FAM76B
T019759	CEP57
T019760	FAM76B
T019761	CEP57
T019762	CEP57
T019763	CEP57
T019764	CEP57
T019773	MTMR2
T019774	MTMR2
T019775	MTMR2
T019776	MTMR2
T019778	MTMR2
T019806	WEE1
T019808	WEE1
T019809	WEE1
T019810	WEE1
T019811	WEE1
T019812	WEE1
T019813	WEE1
T019814	WEE1
T019815	WEE1
T019820	WEE1
T019821	WEE1
T019822	WEE1
T019839	MAML2
T019840	MAML2
T019841	MAML2
T019842	MAML2
T019843	MAML2
T019844	MAML2
T019845	MAML2
T019846	MAML2
T019852	CCDC82
T019853	CCDC82
T019854	CCDC82
T019855	CCDC82
T019856	CCDC82
T019857	JRKL
T019862	SWAP70
T019863	SWAP70
T019864	SWAP70
T019866	SWAP70
T019887	SBF2
T019896	CNTN5
T019906	CLEC2B
T019907	CLEC2B
T019908	CLEC2B
T019909	CLEC2B
T019910	CLEC2B
T019924	ANKS1B
T019932	UHRF1BP1L
T019938	ACTR6
T019941	SCYL2
T019942	SCYL2
T019943	SCYL2
T019944	SCYL2
T019945	SCYL2
T019946	SCYL2
T019947	SCYL2
T019963	GAS2L3
T019964	GAS2L3
T019965	GAS2L3
T019981	ANO4
T019982	ANO4
T019983	ANO4
T019987	ANO4
T019993	ANO4
T019996	CLEC12A
T020018	UTP20
T020019	UTP20
T020024	ARL1
T020026	WNK1
T020035	MYBPC1
T020074	CHPT1
T020075	CHPT1
T020076	CHPT1
T020077	CHPT1
T020078	CHPT1
T020079	CHPT1
T020088	GNPTAB
T020089	GNPTAB
T020090	GNPTAB
T020091	GNPTAB
T020092	GNPTAB
T020118	DRAM1
T020133	WASHC3
T020134	WASHC3
T020135	WASHC3
T020138	NUP37
T020139	PARPBP
T020140	PARPBP
T020142	NUP37
T020146	CLEC1A
T020171	CLEC7A
T020175	IGF1
T020182	IGF1
T020203	OLR1
T020207	OLR1
T020213	PAH
T020220	ASCL1
T020224	PAH
T020225	PAH
T020240	TMEM52B
T020242	TMEM52B
T020247	GABARAPL1
T020248	GABARAPL1
T020249	GABARAPL1
T020250	GABARAPL1
T020251	GABARAPL1
T020252	GABARAPL1
T020256	GABARAPL1
T020258	GABARAPL1
T020259	GABARAPL1
T020281	NT5DC3
T020283	NT5DC3
T020284	NT5DC3
T020285	NT5DC3
T020300	HSP90B1
T020310	HSP90B1
T020311	HSP90B1
T020312	HSP90B1
T020315	C12orf73
T020316	C12orf73
T020318	C12orf73
T020319	C12orf73
T020320	TDG
T020321	TDG
T020322	TDG
T020326	GLT8D2
T020327	HCFC2
T020328	NFYB
T020329	NFYB
T020330	NFYB
T020331	NFYB
T020332	NFYB
T020333	NFYB
T020334	NFYB
T020336	KLRD1
T020339	TXNRD1
T020344	RPL18AP3
T020345	RPL18AP3
T020353	TXNRD1
T020354	TXNRD1
T020359	TXNRD1
T020360	TXNRD1
T020364	EID3
T020365	TXNRD1
T020384	CHST11
T020385	CHST11
T020388	CHST11
T020389	CHST11
T020390	CHST11
T020400	CHST11
T020426	SLC41A2
T020428	C12orf45
T020430	ALDH1L2
T020432	KLRK1
T020436	ALDH1L2
T020440	ALDH1L2
T020444	WASHC4
T020449	APPL2
T020450	APPL2
T020451	APPL2
T020452	APPL2
T020453	APPL2
T020457	C12orf75
T020469	RAD52
T020471	RAD52
T020472	KLRC2
T020479	KLRC1
T020484	NUAK1
T020485	NUAK1
T020489	NUAK1
T020490	NUAK1
T020493	NUAK1
T020494	NUAK1
T020497	NUAK1
T020498	NUAK1
T020499	NUAK1
T020501	NUAK1
T020507	CKAP4
T020509	CKAP4
T020510	CKAP4
T020513	CKAP4
T020514	CKAP4
T020518	CKAP4
T020519	CKAP4
T020520	CKAP4
T020521	CKAP4
T020522	CKAP4
T020537	TCP11L2
T020538	TCP11L2
T020539	TCP11L2
T020540	TCP11L2
T020541	TCP11L2
T020546	POLR3B
T020547	POLR3B
T020548	POLR3B
T020549	POLR3B
T020552	RFX4
T020553	RFX4
T020562	RIC8B
T020563	RIC8B
T020564	RIC8B
T020569	TMEM263
T020571	TMEM263
T020573	MTERF2
T020574	MTERF2
T020582	CRY1
T020583	CRY1
T020584	CRY1
T020585	CRY1
T020586	CRY1
T020587	CRY1
T020588	CRY1
T020589	CRY1
T020591	MAGOHB
T020595	BTBD11
T020606	BTBD11
T020608	PWP1
T020609	PWP1
T020610	PWP1
T020611	PWP1
T020612	PRDM4
T020613	PRDM4
T020614	PRDM4
T020615	PRDM4
T020617	STYK1
T020624	WSCD2
T020630	WSCD2
T020636	YBX3
T020637	YBX3
T020639	YBX3
T020640	YBX3
T020645	YBX3
T020647	YBX3
T020654	YBX3
T020655	YBX3
T020656	CMKLR1
T020663	CMKLR1
T020667	YBX3
T020668	YBX3
T020669	YBX3
T020670	YBX3
T020674	YBX3
T020676	YBX3
T020677	YBX3
T020678	YBX3
T020686	FICD
T020694	SART3
T020696	ISCU
T020697	ISCU
T020710	TMEM119
T020723	SELPLG
T020726	SELPLG
T020740	CORO1C
T020747	CORO1C
T020748	CORO1C
T020754	SSH1
T020768	SSH1
T020769	SSH1
T020770	SSH1
T020778	SVOP
T020781	USP30
T020785	ALKBH2
T020786	ALKBH2
T020787	ALKBH2
T020788	UNG
T020790	UNG
T020791	UNG
T020792	UNG
T020793	UNG
T020794	UNG
T020805	ACACB
T020810	ACACB
T020811	ACACB
T020812	ACACB
T020826	KCTD10
T020827	KCTD10
T020828	KCTD10
T020829	UBE3B
T020830	UBE3B
T020832	RAD52
T020834	ERC1
T020858	MMAB
T020859	MMAB
T020860	MVK
T020862	RAD52
T020863	RAD52
T020867	ERC1
T020868	ERC1
T020869	ERC1
T020872	FAM222A
T020873	FAM222A
T020874	FAM222A
T020877	TRPV4
T020879	GLTP
T020880	GLTP
T020881	GLTP
T020882	GLTP
T020883	GLTP
T020888	TCHP
T020889	TCHP
T020901	GIT2
T020902	GIT2
T020903	GIT2
T020905	GIT2
T020906	GIT2
T020907	GIT2
T020909	ANKRD13A
T020910	ANKRD13A
T020914	C12orf76
T020921	IFT81
T020922	IFT81
T020923	IFT81
T020927	ATP2A2
T020928	ATP2A2
T020929	ATP2A2
T020931	ATP2A2
T020935	ATP2A2
T020940	ATP2A2
T020951	ANAPC7
T020955	ANAPC7
T020957	ANAPC7
T020958	ANAPC7
T020959	ANAPC7
T020969	HMGA1P3
T020970	ARPC3
T020972	ARPC3
T020973	RPL31P49
T020974	GPN3
T020975	GPN3
T020976	FAM216A
T020977	FAM216A
T020978	FAM216A
T020979	FAM216A
T020980	FAM216A
T020981	FAM216A
T020985	VPS29
T020986	VPS29
T020988	RAD9B
T020997	PPTC7
T021000	TCTN1
T021001	TCTN1
T021002	TCTN1
T021015	HVCN1
T021016	HVCN1
T021019	HVCN1
T021029	PPP1CC
T021043	MYL2
T021049	CUX2
T021050	CUX2
T021070	FAM109A
T021071	FAM109A
T021072	FAM109A
T021081	SH2B3
T021082	SH2B3
T021083	SH2B3
T021091	SH2B3
T021093	ATXN2
T021094	ATXN2
T021100	ATXN2
T021101	ATXN2
T021102	ATXN2
T021103	ATXN2
T021104	ATXN2
T021105	BRAP
T021106	BRAP
T021107	BRAP
T021108	ACAD10
T021109	ALDH2
T021114	MAPKAPK5-AS1
T021115	MAPKAPK5-AS1
T021116	MAPKAPK5-AS1
T021117	MAPKAPK5-AS1
T021118	MAPKAPK5
T021119	MAPKAPK5
T021120	MAPKAPK5
T021125	TMEM116
T021126	TMEM116
T021127	TMEM116
T021129	ERP29
T021130	ERP29
T021131	ERP29
T021132	ERP29
T021138	NAA25
T021139	TRAFD1
T021140	TRAFD1
T021141	TRAFD1
T021143	TRAFD1
T021154	HECTD4
T021155	HECTD4
T021157	RPL6
T021158	RPL6
T021159	RPL6
T021160	RPL6
T021161	RPL6
T021163	RPL6
T021164	PTPN11
T021165	PTPN11
T021166	PTPN11
T021172	PTPN11
T021173	PTPN11
T021189	TAS2R14
T021190	PRR4
T021207	OAS1
T021208	OAS1
T021216	OAS3
T021217	OAS3
T021229	OAS2
T021233	DTX1
T021235	DTX1
T021246	RASAL1
T021249	CFAP73
T021255	RITA1
T021256	RITA1
T021257	DDX54
T021258	RITA1
T021259	RITA1
T021260	RITA1
T021261	RITA1
T021262	RITA1
T021263	RITA1
T021270	IQCD
T021271	IQCD
T021272	TPCN1
T021286	SLC8B1
T021287	PLBD2
T021288	PLBD2
T021289	PLBD2
T021311	SDS
T021315	SDSL
T021316	SDSL
T021322	LHX5
T021367	RBM19
T021368	RBM19
T021424	TBX5
T021425	TBX5
T021427	TBX5
T021461	TBX3
T021464	TBX3
T021472	TBX3
T021535	MED13L
T021536	MED13L
T021541	MED13L
T021556	LINC00173
T021585	C12orf49
T021586	C12orf49
T021588	RNFT2
T021592	RNFT2
T021607	HRK
T021608	HRK
T021609	FBXW8
T021618	TESC
T021619	TESC
T021620	TESC
T021621	TESC
T021623	FBXO21
T021624	FBXO21
T021636	ETV6
T021638	ETV6
T021640	ETV6
T021641	ETV6
T021643	ETV6
T021644	ETV6
T021660	KSR2
T021665	RFC5
T021667	WSB2
T021669	WSB2
T021673	WSB2
T021674	WSB2
T021675	WSB2
T021676	WSB2
T021677	WSB2
T021678	WSB2
T021679	WSB2
T021682	VSIG10
T021683	VSIG10
T021684	VSIG10
T021685	VSIG10
T021689	VSIG10
T021690	VSIG10
T021691	PEBP1
T021692	PEBP1
T021697	TAOK3
T021698	TAOK3
T021702	TAOK3
T021706	RPS2P5
T021710	TAOK3
T021712	TAOK3
T021713	TAOK3
T021714	TAOK3
T021718	SUDS3
T021719	SUDS3
T021738	ETV6
T021739	ETV6
T021757	ERC1
T021758	ERC1
T021769	SRRM4
T021779	HSPB8
T021780	HSPB8
T021781	HSPB8
T021782	HSPB8
T021783	HSPB8
T021784	HSPB8
T021789	CCDC60
T021798	TMEM233
T021799	TMEM233
T021801	PRKAB1
T021802	PRKAB1
T021803	PRKAB1
T021804	PRKAB1
T021805	PRKAB1
T021822	CIT
T021826	CIT
T021830	CIT
T021831	CIT
T021847	RAB35
T021848	RAB35
T021849	RAB35
T021852	GCN1
T021853	GCN1
T021854	GCN1
T021856	RPLP0
T021863	PXN
T021864	PXN
T021866	PXN
T021869	PXN
T021870	PXN
T021873	PXN
T021875	PXN
T021876	PXN
T021877	PXN
T021879	PXN
T021882	PXN
T021884	NME2P1
T021890	RNU4-2
T021894	RNU4-1
T021930	MSI1
T021933	MSI1
T021934	MSI1
T021936	RPS27P25
T021939	RPS27P25
T021940	COX6A1
T021941	COX6A1
T021942	COX6A1
T021945	TRIAP1
T021946	TRIAP1
T021947	GATC
T021951	SRSF9
T021952	SRSF9
T021953	DYNLL1
T021957	DYNLL1
T021958	DYNLL1
T021959	DYNLL1
T021960	DYNLL1
T021962	COQ5
T021963	RNF10
T021965	RNF10
T021968	POP5
T021969	RPL11P5
T021974	CABP1
T021978	CABP1
T021981	CABP1
T021989	MLEC
T021990	MLEC
T021994	UNC119B
T021995	UNC119B
T021996	ACADS
T021997	ACADS
T022009	RPL12P33
T022019	C12orf43
T022021	OASL
T022035	P2RX7
T022052	P2RX4
T022063	P2RX4
T022074	CAMKK2
T022087	CAMKK2
T022088	CAMKK2
T022090	ANAPC5
T022091	ANAPC5
T022092	ANAPC5
T022094	RNF34
T022095	RNF34
T022096	KDM2B
T022101	KDM2B
T022102	KDM2B
T022109	KDM2B
T022110	KDM2B
T022111	KDM2B
T022112	KDM2B
T022113	KDM2B
T022118	KDM2B
T022127	ORAI1
T022128	ORAI1
T022129	ORAI1
T022130	ORAI1
T022131	ORAI1
T022141	MORN3
T022142	MORN3
T022144	TMEM120B
T022145	TMEM120B
T022165	RHOF
T022166	RHOF
T022167	RHOF
T022168	RHOF
