isoform	gene
T001180	ZDHHC6
T001181	ZDHHC6
T001182	ZDHHC6
T001183	VTI1A
T001184	VTI1A
T001185	ZDHHC6
T001186	ZDHHC6
T001192	TCF7L2
T001193	TCF7L2
T001196	TCF7L2
T001197	TCF7L2
T001198	TCF7L2
T001199	TCF7L2
T001200	TCF7L2
T001201	TCF7L2
T001224	TCF7L2
T001226	TCF7L2
T001267	CASP7
T001268	CASP7
T001269	CASP7
T001270	CASP7
T001271	CASP7
T001272	CASP7
T001273	CASP7
T001283	DCLRE1A
T001284	DCLRE1A
T001285	NHLRC2
T001286	NHLRC2
T001287	NHLRC2
T001288	NHLRC2
T001297	ADRB1
T001299	ADRB1
T001300	CCDC186
T001303	MIR2110
T001304	CCDC186
T001305	TDRD1
T001309	VWA2
T001316	AFAP1L2
T001319	AFAP1L2
T001321	AFAP1L2
T001322	AFAP1L2
T001326	ABLIM1
T001330	ABLIM1
T001332	ABLIM1
T001341	ABLIM1
T001342	ABLIM1
T001343	ABLIM1
T001345	ABLIM1
T001352	ABLIM1
T001354	ABLIM1
T001355	ABLIM1
T001359	ABLIM1
T001360	ABLIM1
T001366	ABLIM1
T001368	USP6NL
T001369	USP6NL
T001370	USP6NL
T001373	FAM160B1
T001374	FAM160B1
T001376	TRUB1
T001383	ATRNL1
T001400	GFRA1
T001401	GFRA1
T001402	ECHDC3
T001403	ECHDC3
T001404	ECHDC3
T001405	ECHDC3
T001413	GFRA1
T001415	GFRA1
T001499	C10orf82
T001503	HSPA12A
T001508	ENO4
T001512	PROSER2
T001518	SHTN1
T001519	SHTN1
T001520	SHTN1
T001526	SHTN1
T001527	SHTN1
T001537	VAX1
T001540	VAX1
T001548	SLC18A2
T001568	PDZD8
T001570	PDZD8
T001571	PDZD8
T001578	EMX2OS
T001579	EMX2OS
T001580	EMX2OS
T001581	EMX2OS
T001583	EMX2OS
T001584	EMX2
T001585	EMX2OS
T001589	EMX2OS
T001593	EMX2
T001597	EMX2
T001598	EMX2
T001600	EMX2
T001602	EMX2
T001611	RAB11FIP2
T001612	RAB11FIP2
T001613	RAB11FIP2
T001614	RAB11FIP2
T001615	RAB11FIP2
T001616	RAB11FIP2
T001617	CASC2
T001623	FAM204A
T001624	FAM204A
T001625	FAM204A
T001634	CACUL1
T001636	CACUL1
T001647	NANOS1
T001653	EIF3A
T001654	EIF3A
T001658	EIF3A
T001671	EIF3A
T001677	EIF3A
T001678	EIF3A
T001681	UPF2
T001682	UPF2
T001684	FAM45A
T001690	SFXN4
T001691	SFXN4
T001693	PRDX3
T001695	GRK5
T001696	GRK5
T001697	GRK5
T001698	GRK5
T001699	GRK5
T001700	GRK5
T001710	DHTKD1
T001711	DHTKD1
T001712	DHTKD1
T001720	RGS10
T001724	RGS10
T001727	TIAL1
T001729	TIAL1
T001730	TIAL1
T001731	TIAL1
T001732	TIAL1
T001733	TIAL1
T001734	TIAL1
T001735	TIAL1
T001736	TIAL1
T001739	BAG3
T001741	BAG3
T001742	BAG3
T001743	BAG3
T001744	BAG3
T001745	BAG3
T001755	INPP5F
T001756	INPP5F
T001757	INPP5F
T001760	INPP5F
T001762	INPP5F
T001768	MCMBP
T001769	MCMBP
T001771	MCMBP
T001772	SEC23IP
T001773	SEC23IP
T001774	SEC23IP
T001775	SEC23IP
T001776	SEC61A2
T001777	SEC61A2
T001787	SEC61A2
T001797	PLPP4
T001798	NUDT5
T001799	NUDT5
T001800	CDC123
T001801	CDC123
T001802	NUDT5
T001803	CDC123
T001811	WDR11
T001812	WDR11
T001813	WDR11
T001814	WDR11
T001816	WDR11
T001826	CDC123
T001849	FGFR2
T001852	FGFR2
T001860	ATE1
T001861	ATE1
T001862	ATE1
T001863	ATE1
T001867	ATE1
T001869	NSMCE4A
T001870	NSMCE4A
T001871	NSMCE4A
T001886	TACC2
T001895	TACC2
T001896	TACC2
T001897	TACC2
T001898	TACC2
T001899	TACC2
T001900	TACC2
T001902	TACC2
T001904	CAMK1D
T001905	CAMK1D
T001906	CAMK1D
T001907	CAMK1D
T001909	CAMK1D
T001910	CAMK1D
T001911	CAMK1D
T001913	TACC2
T001915	TACC2
T001923	TACC2
T001924	TACC2
T001936	PLEKHA1
T001937	PLEKHA1
T001938	PLEKHA1
T001939	PLEKHA1
T001946	HTRA1
T001982	FAM24B
T001989	C10orf88
T001990	C10orf88
T001991	PSTK
T001992	PSTK
T001993	PSTK
T001994	IKZF5
T001995	IKZF5
T001996	ACADSB
T001997	ACADSB
T001998	ACADSB
T002002	HMX3
T002003	HMX3
T002014	BUB3
T002015	BUB3
T002016	BUB3
T002017	BUB3
T002018	BUB3
T002037	CPXM2
T002060	CHST15
T002067	CHST15
T002068	CHST15
T002075	CHST15
T002077	CHST15
T002103	OAT
T002104	OAT
T002105	OAT
T002109	NKX1-2
T002111	LHPP
T002113	RPS10P18
T002154	FAM53B
T002156	FAM53B
T002157	FAM53B
T002159	FAM53B
T002161	METTL10
T002163	FAM175B
T002188	CTBP2
T002189	CTBP2
T002192	CTBP2
T002194	CTBP2
T002195	CTBP2
T002196	CTBP2
T002197	CTBP2
T002198	CTBP2
T002199	CTBP2
T002209	ALDOAP2
T002217	EDRF1
T002218	EDRF1
T002222	UROS
T002223	UROS
T002229	UROS
T002230	UROS
T002231	UROS
T002232	BCCIP
T002236	DHX32
T002237	DHX32
T002238	FANK1
T002239	FANK1
T002304	ADAM12
T002305	ADAM12
T002308	ADAM12
T002309	ADAM12
T002326	ADARB2
T002327	ADARB2
T002345	C10orf90
T002351	DOCK1
T002362	FAM196A
T002363	FAM196A
T002378	CCDC3
T002379	CCDC3
T002403	PTPRE
T002416	PTPRE
T002419	PTPRE
T002425	PTPRE
T002452	MKI67
T002469	MKI67
T002470	MKI67
T002471	MKI67
T002473	MKI67
T002474	MKI67
T002483	CCDC3
T002492	MGMT
T002493	MGMT
T002495	OPTN
T002497	OPTN
T002498	OPTN
T002499	CCDC3
T002500	CCDC3
T002501	OPTN
T002503	OPTN
T002505	OPTN
T002509	EBF3
T002518	EBF3
T002519	EBF3
T002520	EBF3
T002523	GLRX3
T002526	MCM10
T002539	TCERG1L
T002542	PHYH
T002543	PHYH
T002544	PHYH
T002548	PHYH
T002554	BNIP3
T002555	BNIP3
T002556	BNIP3
T002566	SEPHS1
T002567	SEPHS1
T002569	SEPHS1
T002571	SEPHS1
T002573	SEPHS1
T002579	DPYSL4
T002583	STK32C
T002584	STK32C
T002587	STK32C
T002588	STK32C
T002589	LRRC27
T002590	LRRC27
T002591	STK32C
T002592	LRRC27
T002593	LRRC27
T002598	PWWP2B
T002603	PWWP2B
T002608	C10orf91
T002620	INPP5A
T002639	CFAP46
T002651	ADGRA1
T002655	KNDC1
T002656	KNDC1
T002663	UTF1
T002669	UTF1
T002694	ADAM8
T002704	TUBGCP2
T002706	ZNF511
T002710	TUBGCP2
T002711	TUBGCP2
T002712	ZNF511
T002713	TUBGCP2
T002714	TUBGCP2
T002716	ZNF511
T002718	CALY
T002720	CALY
T002721	CALY
T002724	CALY
T002727	PRAP1
